Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date,,
Hegmann and Sons,Netherlands,52.370216,4.895168,Agriculture & Mining,Medium (201-500),Jessica Martinez,10/03/2024,Services,Customer,6,,,4343,20,24/06/2024,03/07/2024,,
Strosin LLC,Portugal,38.736946,-9.142685,Entertainment & Media & Hospitality,Medium (201-500),Laura Thompson,13/03/2024,SAAS,Customer,6,,,7463,20,27/10/2024,29/04/2024,,
"Heathcote, Ernser and Smitham",Portugal,38.736946,-9.142685,Retail & Distribution,Medium (201-500),Laura Thompson,24/04/2024,Custom solution,Customer,6,,,1872,40,31/10/2024,12/05/2024,,
Konopelski Inc,France,48.864716,2.349014,Banking and Finance,Medium (201-500),Michael Brown,19/03/2024,SAAS,Customer,6,,,4220,40,21/01/2025,12/04/2024,,
Kerluke-Kihn,Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),Laura Thompson,29/04/2024,Services,Customer,6,,,2668,70,05/12/2024,07/07/2024,,
Barton and Sons,Germany,52.520008,13.404954,Government Administration Healthcare,Medium (201-500),Laura Thompson,12/02/2024,Services,Customer,6,,,7766,60,13/08/2024,09/04/2024,,
Nader-Rath,Germany,52.520008,13.404954,Retail & Distribution,Medium (201-500),Sarah Davis,14/04/2024,Custom solution,Customer,6,,,379,50,26/10/2024,29/05/2024,,
Hauck-Brekke,Germany,52.520008,13.404954,Government Administration Healthcare,Medium (201-500),Michael Brown,14/01/2024,Services,Customer,6,,,4188,50,28/09/2024,23/03/2024,,
Kunze-Upton,Italy,41.902782,12.496366,Professional Services  & Consulting,Medium (201-500),Michael Brown,04/02/2024,SAAS,Customer,6,,,875,30,29/12/2024,25/03/2024,,
Dare and Sons,France,48.864716,2.349014,Agriculture & Mining,Medium (201-500),Kevin Anderson,17/05/2024,Custom solution,Customer,6,,,3220,20,03/02/2025,16/08/2024,,
Welch-Stehr,Netherlands,52.370216,4.895168,Education & Science,Medium (201-500),John Smith,04/03/2024,Services,Customer,6,,,6595,40,24/11/2024,15/06/2024,,
King-Wiza,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Michael Brown,31/01/2024,SAAS,Customer,6,,,7977,100,25/03/2024,14/05/2024,,
"Maggio, Feeney and Koss",Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Jessica Martinez,03/05/2024,Services,Customer,6,,,1374,50,04/12/2024,13/06/2024,,
"Upton, Wilderman and Becker",Portugal,38.736946,-9.142685,Manufacturing & Production,Medium (201-500),Jessica Martinez,25/02/2024,SAAS,Customer,6,,,1932,50,09/06/2024,04/05/2024,,
Larkin and Sons,Germany,52.520008,13.404954,Government Administration Healthcare,Medium (201-500),Jessica Martinez,12/03/2024,Custom solution,Customer,6,,,4067,90,27/01/2025,28/05/2024,,
Johns LLC,France,48.864716,2.349014,Manufacturing & Production,Medium (201-500),Michael Brown,21/02/2024,Services,Customer,6,,,7596,70,28/01/2025,15/06/2024,,
Hand-Senger,France,48.864716,2.349014,IT & IT Services,Medium (201-500),Jessica Martinez,14/05/2024,Services,Customer,6,,,425,60,25/10/2024,26/06/2024,,
"Terry, Reinger and Graham",France,48.864716,2.349014,Education & Science,Medium (201-500),Michael Brown,12/02/2024,SAAS,Customer,6,,,6071,10,27/11/2024,05/03/2024,,
Schaefer-Roob,Netherlands,52.370216,4.895168,Professional Services  & Consulting,Medium (201-500),Laura Thompson,08/04/2024,Services,Customer,6,,,2584,30,07/02/2025,12/04/2024,,
"Deckow, Jacobs and Koelpin",Austria,48.210033,16.363449,Construction & Engineering,Medium (201-500),Kevin Anderson,10/04/2024,Services,Customer,6,,,1589,10,15/07/2024,14/05/2024,,
"Metz, Kovacek and O'Reilly",Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),Michael Brown,30/05/2024,SAAS,Customer,6,,,2197,50,06/02/2025,21/09/2024,,
"Brown, Hilll and Kling",Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Laura Thompson,19/03/2024,SAAS,Customer,6,,,3231,70,29/09/2024,20/04/2024,,
"Bednar, Casper and Spinka",Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),Sarah Davis,16/02/2024,Services,Customer,6,,,5655,50,01/02/2025,23/02/2024,,
Schmeler and Sons,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Laura Thompson,02/05/2024,SAAS,Customer,6,,,5044,20,16/02/2025,04/06/2024,,
"Stark, Friesen and Legros",Italy,41.902782,12.496366,Education & Science,Medium (201-500),Michael Brown,04/03/2024,SAAS,Customer,6,,,2271,20,31/01/2025,28/04/2024,,
"Jakubowski, Corwin and Larson",Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Jessica Martinez,24/03/2024,Custom solution,Customer,6,,,3884,30,28/07/2024,11/07/2024,,
Walter-Hagenes,Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),Sarah Davis,10/04/2024,Services,Customer,6,,,3216,30,02/10/2024,27/04/2024,,
"Zemlak, Roberts and Dach",Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Laura Thompson,02/03/2024,SAAS,Customer,6,,,4219,50,25/12/2024,23/05/2024,,
Wunsch-Gusikowski,Belgium,51.260197,4.402771,Government Administration Healthcare,Medium (201-500),Emily Johnson,08/01/2024,Services,Customer,6,,,5815,40,12/06/2024,09/03/2024,,
"Rempel, Weber and Keebler",Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Kevin Anderson,17/01/2024,Services,Customer,6,,,4191,20,31/03/2024,24/02/2024,,
Douglas Group,Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Sarah Davis,09/05/2024,SAAS,Customer,6,,,3415,20,06/03/2025,26/05/2024,,
Johnson-Schoen,Spain,40.416775,-3.703790,Telecommunications,Medium (201-500),Jessica Martinez,07/02/2024,Services,Customer,6,,,2133,100,18/04/2024,11/02/2024,,
"Hickle, Nader and Baumbach",Portugal,38.736946,-9.142685,Transportation & Logistics,Large (501-1000),Jessica Martinez,09/02/2024,SAAS,Customer,6,,,14918,20,06/06/2024,20/04/2024,,
Romaguera LLC,Germany,52.520008,13.404954,Professional Services  & Consulting,Large (501-1000),Laura Thompson,27/02/2024,SAAS,Customer,6,,,7279,60,14/11/2024,28/02/2024,,
Murray LLC,Portugal,38.736946,-9.142685,Government Administration Healthcare,Enterprise (1001+),Laura Thompson,16/04/2024,Services,Customer,6,,,5064,20,24/07/2024,20/07/2024,,
Champlin-Stokes,Switzerland,46.204391,6.143158,Banking and Finance,Enterprise (1001+),Kevin Anderson,06/05/2024,Services,Customer,6,,,5325,50,12/10/2024,15/07/2024,,
"Jaskolski, Hane and Cummerata",Switzerland,46.204391,6.143158,Transportation & Logistics,Enterprise (1001+),Emily Johnson,07/03/2024,Custom solution,Customer,6,,,17797,60,15/01/2025,28/06/2024,,
Jacobs LLC,Belgium,51.260197,4.402771,Banking and Finance,Enterprise (1001+),Michael Brown,10/03/2024,Custom solution,Customer,6,,,19852,10,26/08/2024,03/05/2024,,
Nitzsche-Cartwright,Austria,48.210033,16.363449,Government Administration Healthcare,Enterprise (1001+),John Smith,19/03/2024,Custom solution,Customer,6,,,6762,100,12/07/2024,13/05/2024,,
Kanoodle,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),David Wilson,31/01/2024,Services,Disqualified,3,,,1214,60,11/01/2025,,,
Youbridge,Italy,41.902782,12.496366,Manufacturing & Production,Small (11-200),Sarah Davis,05/05/2024,Services,Disqualified,3,,,1916,20,13/03/2025,,,
Jabbercube,Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),Laura Thompson,30/05/2024,Services,Disqualified,3,,,1918,20,05/04/2025,,,
Dabfeed,Belgium,51.260197,4.402771,Recreation & Sports,Small (11-200),Emily Johnson,25/04/2024,Services,Disqualified,3,,,685,60,27/03/2025,,,
Skiba,Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),John Smith,13/03/2024,Services,Disqualified,3,,,315,40,10/12/2024,,,
Voonyx,Italy,41.902782,12.496366,Banking and Finance,Small (11-200),David Wilson,03/01/2024,Custom solution,Disqualified,3,,,810,50,19/03/2024,,,
Harber and Sons,Italy,41.902782,12.496366,IT & IT Services,Small (11-200),Laura Thompson,22/02/2024,SAAS,Disqualified,3,,,717,70,20/04/2024,,,
Gorczany-Hayes,Netherlands,52.370216,4.895168,Energy & Utilities,Small (11-200),Sarah Davis,21/04/2024,Services,Disqualified,3,,,1789,20,24/06/2024,,,
Ritchie Inc,France,48.864716,2.349014,Construction & Engineering,Small (11-200),Michael Brown,29/02/2024,SAAS,Disqualified,3,,,1311,30,13/10/2024,,,
Strosin-Romaguera,Portugal,38.736946,-9.142685,Recreation & Sports,Small (11-200),Laura Thompson,17/05/2024,Services,Disqualified,3,,,1025,20,20/06/2024,,,
Wyman-Homenick,Germany,52.520008,13.404954,IT & IT Services,Small (11-200),Jessica Martinez,19/03/2024,SAAS,Disqualified,3,,,1330,30,14/09/2024,,,
"Koelpin, Gulgowski and Boyle",Italy,41.902782,12.496366,Recreation & Sports,Small (11-200),Michael Brown,30/05/2024,Services,Disqualified,3,,,924,20,04/04/2025,,,
"Daniel, Kshlerin and VonRueden",Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Jessica Martinez,21/04/2024,Services,Disqualified,3,,,352,20,30/12/2024,,,
Macejkovic Group,Switzerland,46.204391,6.143158,Energy & Utilities,Small (11-200),Michael Brown,05/03/2024,Services,Disqualified,3,,,779,30,17/01/2025,,,
Volkman and Sons,Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),Sarah Davis,18/04/2024,SAAS,Disqualified,3,,,1369,10,27/05/2024,,,
Russel Group,France,48.864716,2.349014,Construction & Engineering,Small (11-200),Laura Thompson,27/04/2024,SAAS,Disqualified,3,,,585,50,09/06/2024,,,
"Romaguera, Fadel and Jast",Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),John Smith,09/05/2024,Services,Disqualified,3,,,372,100,18/04/2025,,,
"Kris, Bode and Fisher",France,48.864716,2.349014,Manufacturing & Production,Small (11-200),Laura Thompson,27/04/2024,Services,Disqualified,3,,,1915,30,21/10/2024,,,
"Sawayn, Hansen and Marquardt",Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),John Smith,24/02/2024,Services,Disqualified,3,,,1932,90,26/09/2024,,,
"Kutch, Batz and McGlynn",France,48.864716,2.349014,Government Administration Healthcare,Small (11-200),Laura Thompson,15/04/2024,Services,Disqualified,3,,,1366,40,12/08/2024,,,
Mohr-Bogisich,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),David Wilson,19/05/2024,SAAS,Disqualified,3,,,1379,60,05/01/2025,,,
Christiansen Inc,Germany,52.520008,13.404954,Banking and Finance,Small (11-200),Laura Thompson,03/01/2024,SAAS,Disqualified,3,,,689,90,14/11/2024,,,
Adams-Koch,Austria,48.210033,16.363449,IT & IT Services,Small (11-200),David Wilson,24/03/2024,SAAS,Disqualified,3,,,791,50,24/09/2024,,,
Ebert-Howe,Austria,48.210033,16.363449,Agriculture & Mining,Small (11-200),Jessica Martinez,25/01/2024,Services,Disqualified,3,,,680,20,24/09/2024,,,
Collins Group,Italy,41.902782,12.496366,Banking and Finance,Small (11-200),David Wilson,28/01/2024,Services,Disqualified,3,,,655,90,11/12/2024,,,
"Russel, Beahan and Hoppe",Austria,48.210033,16.363449,Government Administration Healthcare,Small (11-200),Kevin Anderson,13/01/2024,Services,Disqualified,3,,,1273,20,08/03/2024,,,
"Jast, Upton and Bosco",Portugal,38.736946,-9.142685,Transportation & Logistics,Small (11-200),Jessica Martinez,19/05/2024,Services,Disqualified,3,,,556,20,21/03/2025,,,
Schimmel-Doyle,Italy,41.902782,12.496366,Education & Science,Small (11-200),Laura Thompson,18/02/2024,Services,Disqualified,3,,,281,20,16/09/2024,,,
Schneider-Lesch,Switzerland,46.204391,6.143158,Entertainment & Media & Hospitality,Small (11-200),John Smith,10/05/2024,SAAS,Disqualified,3,,,598,40,11/12/2024,,,
Harris-Boyle,Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),Emily Johnson,04/04/2024,Services,Disqualified,3,,,1896,100,28/12/2024,,,
"Wehner, Botsford and Brown",Spain,40.416775,-3.703790,Professional Services  & Consulting,Small (11-200),Emily Johnson,29/02/2024,SAAS,Disqualified,3,,,1206,70,24/01/2025,,,
Wilkinson-Jast,Spain,40.416775,-3.703790,Government Administration Healthcare,Small (11-200),Laura Thompson,16/03/2024,Services,Disqualified,3,,,1915,10,09/02/2025,,,
Littel-Cummerata,Switzerland,46.204391,6.143158,Entertainment & Media & Hospitality,Small (11-200),Laura Thompson,11/02/2024,Services,Disqualified,3,,,766,30,29/05/2024,,,
"Weber, Morissette and Douglas",Spain,40.416775,-3.703790,Banking and Finance,Small (11-200),Michael Brown,18/04/2024,SAAS,Disqualified,3,,,1609,80,02/08/2024,,,
"Ondricka, Will and Goldner",Austria,48.210033,16.363449,Energy & Utilities,Small (11-200),Jessica Martinez,23/03/2024,SAAS,Disqualified,3,,,560,60,01/05/2024,,,
Tromp-Walter,France,48.864716,2.349014,Energy & Utilities,Small (11-200),Michael Brown,02/01/2024,Services,Disqualified,3,,,432,20,26/09/2024,,,
Schumm-Dickens,Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),Emily Johnson,20/05/2024,SAAS,Disqualified,3,,,625,90,24/06/2024,,,
Hessel-Grant,Belgium,51.260197,4.402771,Telecommunications,Small (11-200),Michael Brown,04/04/2024,Services,Disqualified,3,,,980,30,25/06/2024,,,
"Mayer, Cruickshank and Spencer",Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Sarah Davis,02/04/2024,SAAS,Disqualified,3,,,1471,40,23/02/2025,,,
"O'Reilly, Hane and Toy",Spain,40.416775,-3.703790,Telecommunications,Small (11-200),Michael Brown,20/04/2024,SAAS,Disqualified,3,,,900,40,01/07/2024,,,
"Upton, Pacocha and Keeling",Germany,52.520008,13.404954,Professional Services  & Consulting,Small (11-200),Sarah Davis,28/01/2024,SAAS,Disqualified,3,,,1289,60,25/07/2024,,,
"Leffler, Daniel and Runolfsdottir",France,48.864716,2.349014,Construction & Engineering,Small (11-200),John Smith,31/05/2024,Custom solution,Disqualified,3,,,250,20,02/01/2025,,,
Nienow Inc,France,48.864716,2.349014,IT & IT Services,Small (11-200),David Wilson,05/02/2024,Services,Disqualified,3,,,657,40,23/04/2024,,,
Ernser-Franecki,Germany,52.520008,13.404954,Professional Services  & Consulting,Small (11-200),Sarah Davis,18/01/2024,Services,Disqualified,3,,,1258,60,01/06/2024,,,
Stroman Inc,Portugal,38.736946,-9.142685,Education & Science,Small (11-200),Jessica Martinez,03/05/2024,Services,Disqualified,3,,,360,30,22/06/2024,,,
"Cartwright, Medhurst and Harris",France,48.864716,2.349014,Entertainment & Media & Hospitality,Small (11-200),Michael Brown,18/04/2024,SAAS,Disqualified,3,,,1626,50,14/08/2024,,,
Torp and Sons,Italy,41.902782,12.496366,Recreation & Sports,Small (11-200),Jessica Martinez,15/02/2024,SAAS,Disqualified,3,,,472,50,06/10/2024,,,
"Russel, Upton and Kuhn",Austria,48.210033,16.363449,Transportation & Logistics,Small (11-200),Emily Johnson,08/05/2024,Services,Disqualified,3,,,727,40,20/10/2024,,,
"Huels, Gottlieb and Hoppe",Switzerland,46.204391,6.143158,Government Administration Healthcare,Small (11-200),Jessica Martinez,29/01/2024,Custom solution,Disqualified,3,,,1801,90,03/07/2024,,,
Podcat,Switzerland,46.204391,6.143158,Manufacturing & Production,Micro (1-10),Laura Thompson,19/03/2024,SAAS,Disqualified,3,,,926,30,25/02/2025,,,
Bubblemix,Italy,41.902782,12.496366,Telecommunications,Micro (1-10),Laura Thompson,04/03/2024,Services,Disqualified,3,,,438,30,01/08/2024,,,
Aibox,Italy,41.902782,12.496366,Recreation & Sports,Micro (1-10),Jessica Martinez,05/01/2024,Services,Disqualified,3,,,577,30,29/06/2024,,,
Topdrive,Germany,52.520008,13.404954,Professional Services  & Consulting,Micro (1-10),Michael Brown,18/03/2024,Services,Disqualified,3,,,530,40,27/01/2025,,,
Shuffledrive,Austria,48.210033,16.363449,Telecommunications,Micro (1-10),Michael Brown,02/01/2024,SAAS,Disqualified,3,,,696,60,18/12/2024,,,
Abatz,Belgium,51.260197,4.402771,Banking and Finance,Micro (1-10),Laura Thompson,29/04/2024,SAAS,Disqualified,3,,,214,20,21/05/2024,,,
Demivee,Italy,41.902782,12.496366,Agriculture & Mining,Micro (1-10),Sarah Davis,16/04/2024,SAAS,Disqualified,3,,,744,30,22/12/2024,,,
Oyoloo,Belgium,51.260197,4.402771,Energy & Utilities,Micro (1-10),Jessica Martinez,14/02/2024,Services,Disqualified,3,,,368,50,23/07/2024,,,
"Reichel, Hamill and Hand",Netherlands,52.370216,4.895168,Banking and Finance,Micro (1-10),Kevin Anderson,15/04/2024,Services,Disqualified,3,,,963,30,20/11/2024,,,
Johns-Blanda,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),Laura Thompson,08/05/2024,Services,Disqualified,3,,,960,50,12/02/2025,,,
Carroll-Collier,France,48.864716,2.349014,Entertainment & Media & Hospitality,Micro (1-10),Michael Brown,20/04/2024,SAAS,Disqualified,3,,,1053,10,29/08/2024,,,
McKenzie and Sons,Switzerland,46.204391,6.143158,Manufacturing & Production,Micro (1-10),Sarah Davis,13/05/2024,SAAS,Disqualified,3,,,1035,50,05/01/2025,,,
Abbott-Schumm,France,48.864716,2.349014,Recreation & Sports,Micro (1-10),David Wilson,03/04/2024,SAAS,Disqualified,3,,,951,50,02/03/2025,,,
Watsica LLC,Switzerland,46.204391,6.143158,Government Administration Healthcare,Micro (1-10),Laura Thompson,05/05/2024,SAAS,Disqualified,3,,,788,20,02/03/2025,,,
"Bradtke, Kuhic and Wiza",France,48.864716,2.349014,Banking and Finance,Micro (1-10),Laura Thompson,23/01/2024,Custom solution,Disqualified,3,,,674,50,05/06/2024,,,
Kilback LLC,France,48.864716,2.349014,Construction & Engineering,Micro (1-10),John Smith,28/01/2024,Services,Disqualified,3,,,1140,20,07/03/2024,,,
"Treutel, Tillman and Wuckert",Switzerland,46.204391,6.143158,Telecommunications,Micro (1-10),Kevin Anderson,22/04/2024,Services,Disqualified,3,,,1087,90,02/11/2024,,,
"Erdman, Ward and Aufderhar",Italy,41.902782,12.496366,Education & Science,Micro (1-10),Michael Brown,03/05/2024,Services,Disqualified,3,,,1110,30,30/12/2024,,,
Smith LLC,France,48.864716,2.349014,Transportation & Logistics,Micro (1-10),Kevin Anderson,07/02/2024,SAAS,Disqualified,3,,,885,70,24/04/2024,,,
O'Kon-Watsica,France,48.864716,2.349014,Transportation & Logistics,Micro (1-10),Michael Brown,23/01/2024,SAAS,Disqualified,3,,,1174,60,03/01/2025,,,
Beer-Carter,France,48.864716,2.349014,IT & IT Services,Micro (1-10),David Wilson,08/02/2024,SAAS,Disqualified,3,,,350,50,25/05/2024,,,
Hilll Inc,Italy,41.902782,12.496366,Construction & Engineering,Micro (1-10),Jessica Martinez,03/04/2024,Services,Disqualified,3,,,552,30,10/01/2025,,,
Maggio LLC,Portugal,38.736946,-9.142685,Professional Services  & Consulting,Micro (1-10),David Wilson,19/05/2024,Custom solution,Disqualified,3,,,595,40,23/12/2024,,,
Connelly-Thompson,Italy,41.902782,12.496366,Transportation & Logistics,Micro (1-10),Michael Brown,14/05/2024,SAAS,Disqualified,3,,,341,90,24/03/2025,,,
"Lind, Mueller and O'Conner",Switzerland,46.204391,6.143158,Education & Science,Micro (1-10),Sarah Davis,06/03/2024,SAAS,Disqualified,3,,,586,100,03/03/2025,,,
Torphy and Sons,Italy,41.902782,12.496366,Manufacturing & Production,Micro (1-10),Sarah Davis,18/01/2024,Services,Disqualified,3,,,798,20,26/12/2024,,,
Williamson-Nicolas,Switzerland,46.204391,6.143158,Construction & Engineering,Micro (1-10),Sarah Davis,15/04/2024,SAAS,Disqualified,3,,,1038,50,03/03/2025,,,
Howe and Sons,France,48.864716,2.349014,Recreation & Sports,Micro (1-10),Laura Thompson,14/02/2024,Custom solution,Disqualified,3,,,461,40,16/08/2024,,,
Wisoky and Sons,Austria,48.210033,16.363449,Recreation & Sports,Micro (1-10),Jessica Martinez,28/04/2024,SAAS,Disqualified,3,,,726,40,18/06/2024,,,
"Johnston, Ankunding and Raynor",Italy,41.902782,12.496366,IT & IT Services,Micro (1-10),Michael Brown,17/03/2024,SAAS,Disqualified,3,,,830,60,02/09/2024,,,
Daniel-Hackett,Germany,52.520008,13.404954,Telecommunications,Micro (1-10),Michael Brown,13/01/2024,SAAS,Disqualified,3,,,278,50,09/12/2024,,,
Wilkinson-Wolff,Germany,52.520008,13.404954,Entertainment & Media & Hospitality,Micro (1-10),Laura Thompson,21/04/2024,Services,Disqualified,3,,,958,70,28/01/2025,,,
"Cummerata, Tillman and Konopelski",Portugal,38.736946,-9.142685,Telecommunications,Micro (1-10),Jessica Martinez,25/03/2024,SAAS,Disqualified,3,,,926,20,09/01/2025,,,
"Pfeffer, Terry and Kiehn",Portugal,38.736946,-9.142685,Education & Science,Micro (1-10),David Wilson,07/01/2024,SAAS,Disqualified,3,,,620,70,04/08/2024,,,
Cremin Inc,Austria,48.210033,16.363449,Professional Services  & Consulting,Micro (1-10),Laura Thompson,10/04/2024,SAAS,Disqualified,3,,,636,60,03/04/2025,,,
"Hauck, Hermiston and Hodkiewicz",Austria,48.210033,16.363449,Professional Services  & Consulting,Micro (1-10),Michael Brown,22/01/2024,Services,Disqualified,3,,,982,50,12/10/2024,,,
Wyman Group,Austria,48.210033,16.363449,Banking and Finance,Micro (1-10),Laura Thompson,24/01/2024,Services,Disqualified,3,,,982,60,14/08/2024,,,
"Marvin, Maggio and Herman",Germany,52.520008,13.404954,Entertainment & Media & Hospitality,Micro (1-10),John Smith,08/03/2024,Services,Disqualified,3,,,367,100,28/12/2024,,,
Aufderhar-Daugherty,Italy,41.902782,12.496366,Banking and Finance,Micro (1-10),Laura Thompson,06/01/2024,SAAS,Disqualified,3,,,1098,40,24/04/2024,,,
Brown-Erdman,Germany,52.520008,13.404954,Transportation & Logistics,Micro (1-10),David Wilson,22/04/2024,Custom solution,Disqualified,3,,,664,20,29/12/2024,,,
Kub and Sons,Portugal,38.736946,-9.142685,Energy & Utilities,Micro (1-10),David Wilson,22/05/2024,Services,Disqualified,3,,,990,70,03/01/2025,,,
"Towne, Jacobs and Runte",France,48.864716,2.349014,Transportation & Logistics,Micro (1-10),Michael Brown,21/01/2024,Custom solution,Disqualified,3,,,1162,40,18/04/2024,,,
Jatri,Switzerland,46.204391,6.143158,Professional Services  & Consulting,Medium (201-500),Laura Thompson,21/02/2024,SAAS,Disqualified,3,,,3506,40,16/02/2025,,,
Yodo,Italy,41.902782,12.496366,Professional Services  & Consulting,Medium (201-500),John Smith,08/05/2024,SAAS,Disqualified,3,,,289,40,13/08/2024,,,
Skalith,Switzerland,46.204391,6.143158,Agriculture & Mining,Medium (201-500),Laura Thompson,14/05/2024,Services,Disqualified,3,,,6754,30,05/06/2024,,,
Vinder,Italy,41.902782,12.496366,Education & Science,Medium (201-500),Sarah Davis,12/03/2024,Services,Disqualified,3,,,6897,40,13/01/2025,,,
Photojam,Portugal,38.736946,-9.142685,Agriculture & Mining,Medium (201-500),David Wilson,03/05/2024,SAAS,Disqualified,3,,,1437,50,20/03/2025,,,
Voonix,Spain,40.416775,-3.703790,Recreation & Sports,Medium (201-500),David Wilson,24/04/2024,Services,Disqualified,3,,,3994,30,13/02/2025,,,
Dynabox,Italy,41.902782,12.496366,Retail & Distribution,Medium (201-500),Emily Johnson,24/01/2024,Custom solution,Disqualified,3,,,5221,40,06/10/2024,,,
Riffpath,Spain,40.416775,-3.703790,Professional Services  & Consulting,Medium (201-500),David Wilson,16/05/2024,Services,Disqualified,3,,,3292,60,01/04/2025,,,
Tambee,Austria,48.210033,16.363449,Banking and Finance,Medium (201-500),John Smith,19/03/2024,SAAS,Disqualified,3,,,5877,50,05/12/2024,,,
Feedmix,Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Jessica Martinez,18/04/2024,Services,Disqualified,3,,,7026,40,07/11/2024,,,
Babbleset,Belgium,51.260197,4.402771,Banking and Finance,Medium (201-500),Emily Johnson,06/02/2024,Services,Disqualified,3,,,692,20,24/04/2024,,,
Flashdog,Belgium,51.260197,4.402771,Government Administration Healthcare,Medium (201-500),Michael Brown,16/05/2024,SAAS,Disqualified,3,,,5158,40,09/08/2024,,,
Myworks,Belgium,51.260197,4.402771,Energy & Utilities,Medium (201-500),David Wilson,08/05/2024,SAAS,Disqualified,3,,,1485,60,03/11/2024,,,
Feedfire,Switzerland,46.204391,6.143158,Government Administration Healthcare,Medium (201-500),Michael Brown,08/03/2024,SAAS,Disqualified,3,,,3139,90,13/11/2024,,,
Cogilith,Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),Jessica Martinez,18/04/2024,Custom solution,Disqualified,3,,,7646,10,22/11/2024,,,
Vinte,Belgium,51.260197,4.402771,Transportation & Logistics,Medium (201-500),Sarah Davis,05/02/2024,Services,Disqualified,3,,,7893,30,30/04/2024,,,
Flashpoint,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Jessica Martinez,19/01/2024,Services,Disqualified,3,,,2490,30,03/03/2024,,,
Meembee,Portugal,38.736946,-9.142685,Education & Science,Medium (201-500),Michael Brown,24/05/2024,SAAS,Disqualified,3,,,6309,40,05/09/2024,,,
Brightdog,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Michael Brown,28/05/2024,Services,Disqualified,3,,,7162,40,21/07/2024,,,
Edgepulse,Switzerland,46.204391,6.143158,Retail & Distribution,Medium (201-500),Emily Johnson,14/05/2024,Services,Disqualified,3,,,6188,80,05/01/2025,,,
Wunsch Inc,Italy,41.902782,12.496366,Entertainment & Media & Hospitality,Medium (201-500),David Wilson,08/03/2024,Services,Disqualified,3,,,3823,70,05/04/2024,,,
Wisoky-Schneider,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Jessica Martinez,27/03/2024,Custom solution,Disqualified,3,,,6203,90,16/09/2024,,,
Gutmann-Williamson,Spain,40.416775,-3.703790,IT & IT Services,Medium (201-500),Emily Johnson,10/03/2024,Custom solution,Disqualified,3,,,7516,40,28/07/2024,,,
Breitenberg Inc,Portugal,38.736946,-9.142685,Agriculture & Mining,Medium (201-500),Sarah Davis,10/01/2024,Custom solution,Disqualified,3,,,7850,50,18/05/2024,,,
Koelpin and Sons,France,48.864716,2.349014,IT & IT Services,Medium (201-500),Kevin Anderson,24/04/2024,Services,Disqualified,3,,,7065,80,16/04/2025,,,
"Bernhard, Lindgren and Harvey",Portugal,38.736946,-9.142685,Recreation & Sports,Medium (201-500),Sarah Davis,19/05/2024,Services,Disqualified,3,,,2090,40,14/05/2025,,,
Stoltenberg-Weimann,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Michael Brown,12/04/2024,SAAS,Disqualified,3,,,7110,50,22/02/2025,,,
Wilderman-Romaguera,Switzerland,46.204391,6.143158,Retail & Distribution,Medium (201-500),David Wilson,19/03/2024,Services,Disqualified,3,,,7626,30,26/02/2025,,,
Luettgen-Gorczany,Netherlands,52.370216,4.895168,Professional Services  & Consulting,Medium (201-500),Michael Brown,03/04/2024,Custom solution,Disqualified,3,,,6993,20,07/11/2024,,,
Gleason Group,Portugal,38.736946,-9.142685,Energy & Utilities,Medium (201-500),Laura Thompson,15/04/2024,Services,Disqualified,3,,,423,60,09/04/2025,,,
